Hour,Wind (MW),Solar (MW),Total Load (MW),Net Load (MW),Solar Plus Wind (MW),,,
1,764,0,21317,20553,764,,,
2,1044,0,20613,19569,1044,,,
3,1049,0,20154,19105,1049,,,
4,823,0,20068,19245,823,,,
5,489,0,20694,20205,489,,,
6,532,0,21918,21386,532,,,
7,688,0,24503,23815,688,,,
8,646,934,25795,24215,1580,,,
9,571,3810,25485,21104,4381,,,
10,472,5567,24933,18894,6039,,,
11,530,6125,24401,17746,6655,,,
12,379,6101,23871,17391,6480,,,
13,432,6172,23865,17261,6604,,,
14,535,6027,24039,17477,6562,,,
15,594,5000,24277,18683,5594,,,
16,1626,2785,24736,20325,4411,,,
17,2677,481,25477,22319,3158,,,
18,1962,0,27731,25769,1962,,,
19,1431,0,28070,26639,1431,,,
20,998,0,27551,26553,998,,,
21,1057,0,26751,25694,1057,,,
22,1111,0,25531,24420,1111,,,
23,945,0,23980,23035,945,,,
24,1283,0,22382,21099,1283,,,