X (longitude),Y (latitude),US postal code,Solar,Wind,Carbon free (includes biomass),Non-renewables,Total generation
-121.9679786,38.41545933,95688,9.91,0,11.5,0,21.41
-117.5632971,34.03188393,91761,14.12,0,0,83,97.12
-117.7354763,34.09428408,91767,0,0,0,0,0
-117.124662,33.0712161,92029,0,0,40,654,694
-118.3825399,33.92226968,92506,0,0,0,0,0
-118.2281486,33.77595139,90813,0,0,0,35.8,35.8
-117.3837552,35.76556739,93562,0,0,0,62.5,62.5
-121.6621946,40.92517362,96013,0,101.2,203,0,304.2
-116.0887523,33.58611965,92254,0,0,54.15,0,54.15
-124.2030475,40.79943251,95564,0,0,15,0,15
-120.2485708,40.35819249,96136,0,0,38.5,0,38.5
-117.1339209,32.86697368,92111,0,0,0,9.72,9.72
-121.7763751,36.70539887,93933,2.12,0,0,6.82,8.94
-117.0271616,32.59843219,91911,0,0,0,54.69,54.69
-117.1964774,33.13512338,92069,1.1,0,0,1.86,2.96
-116.9602104,32.8557854,92071,0,0,0,5.4,5.4
-120.0235533,34.46403823,93117,0,0,0,109.55,109.55
-121.3134904,38.83185548,95648,0,0,27.8,0,27.8
-120.5018728,37.88270156,95327,1.5,0,25.66,0,27.16
-121.7212163,38.6802921,95776,2.1,0,28,0,30.1
-122.3923929,37.74066643,94124,2,0,0,2.1,4.1
-118.2158437,33.76280393,90802,0,0,0,82.4,82.4
-118.1537915,33.99486138,90040,0,0,0,11.5,11.5
-118.0242035,34.02379663,90601,0,0,0,50,50
-122.3804975,37.95552428,94801,2,0,0,3,5
-118.366037,34.22497022,91352,0,0,1,6,7
-118.446529,34.30669272,91342,0,0,17.4,31.83,49.23
-117.1996933,32.7130148,92101,1.6,0,0,16.4,18
-122.7477844,38.30139291,94952,0,0,0,8,8
-117.1973336,32.89115931,92121,0.1,0,0,14.49,14.59
-121.1925729,38.51479636,95683,0,0,0,15.15,15.15
-117.1215066,33.95507416,92555,0,0,0,1.21,1.21
-119.1789805,34.13768695,93033,0,0,0,1643.3,1643.3
-118.284792,33.80181674,90745,0,0,0,38.4,38.4
-121.872951,38.01325874,94565,21.2,0,0,1458.04,1479.24
-121.3328021,38.82442429,95677,0,0,0,54.66,54.66
-118.7211526,34.14777109,91301,0,0,0,13.8,13.8
-120.4139383,34.95029014,93454,0,0,0,1.4,1.4
-121.8335149,38.31473802,95687,0,0,0,1.6,1.6
-121.3569698,39.06209362,95692,0,0,7.18,3.2,10.38
-118.6524433,34.53483259,91384,0,0,1691,9.2,1700.2
-117.2888129,33.12265751,92009,0.08,0,0,3,3.08
-121.4200878,36.51824683,93926,1,0,0,1.41,2.41
-118.9979163,34.40080162,93060,0,0,0,2.25,2.25
-118.0472423,33.97071373,90602,0,0,0,2.2,2.2
-122.3235624,40.47187226,96007,0,0,30.15,0,30.15
-121.925296,38.2267996,94585,0,0,0,200.4,200.4
-118.1002322,33.76705922,90803,0,0,0,3708.91,3708.91
-118.3103,33.33353163,90704,0,0,0,11.1,11.1
-121.1261055,36.22509111,93930,0,0,0,177.3,177.3
-118.4948853,34.38408904,91321,0,0,0,42.8,42.8
-118.2445805,33.81655825,90749,0,0,0,398,398
-118.4140958,33.90792129,90245,0,0,0,709.17,709.17
-118.0130071,33.90701469,90639,0,0,0,2.2,2.2
-118.3147616,34.17736741,91502,0,0,0,60.5,60.5
-121.4498219,38.5195858,95824,2,0,0,371.8,373.8
-118.2622243,33.78181326,90744,4.61,0,0,1042.08,1046.69
-118.2412188,33.85945468,90746,0,0,0,65,65
-121.446825,38.39233229,95758,1,0,0,119.5,120.5
-122.3909,37.9418,94802,0,0,0,165.68,165.68
-122.476542,37.72550916,94132,1.2,0,0,1.6,2.8
-117.5627365,33.861711,91720,0,0,5.7,47,52.7
-118.524442,34.5294166,91350,0,0,115.38,28.71,144.09
-122.002171,38.27376959,94533,1,0,0,2.92,3.92
-122.2155952,38.05712627,94525,0,0,0,247.4,247.4
-119.1514054,34.20197325,93030,3.7,0,0,118.28,121.98
-121.3820686,38.79277791,95747,0,0,0,200,200
-117.086899,33.12221774,92025,0,0,0,52.8,52.8
-118.2811813,34.15885202,91201,0,0,0,287,287
-118.2539297,33.77961786,90748,0,0,0,284.05,284.05
-117.0648871,32.63423694,91910,1.14,0,0,9.48,10.62
-117.1232827,32.69710209,92113,0.05,0,0,28,28.05
-117.2627077,34.05127995,92350,0,0,0,10.4,10.4
-119.2492614,34.20609559,93035,0,0,0,622.33,622.33
-121.3930909,38.6526366,95652,0,0,0,74.2,74.2
-118.3299778,33.85316385,90509,0,0,0,49.28,49.28
-121.7802203,36.80452851,95039,0,0,0,1080.06,1080.06
-120.7419161,36.25155564,95134,0,0,0,49.2,49.2
-119.0653814,34.17012307,93012,0,0,0,44.24,44.24
-117.6908621,33.98728852,91710,1.22,0,0,31.19,32.41
-122.3037194,40.65948,96001,0,0,8.5,183.1,191.6
-118.3947507,33.84984501,90277,0,0,0,1355.73,1355.73
-122.0964475,38.02433934,94553,0,0,0,217.7,217.7
-117.0700803,32.77842089,92182,0,0,0,14.3,14.3
-116.5994761,33.92081788,92258,11.7,158.98,0,935,1105.68
-120.8637407,35.95247549,93450,0,0,0,44.9,44.9
-117.382292,34.0907737,91786,0,0,0.92,2.7,3.62
-118.4260113,33.9186715,90293,0,0,0,1376.02,1376.02
-117.7740897,34.0590389,91768,0,0,0,46.3,46.3
-119.8427768,34.41545749,93106,0,0,0,0.2,0.2
-116.8128478,33.44134481,92128,0,3,0,1.3,4.3
-119.5862189,35.47737376,93206,20,0,0,2,22
-119.7815523,35.65648646,93249,95,0,0,9,104
-118.1340162,33.9651316,90280,0,0,1.91,1.42,3.33
-122.2456846,38.03163755,94572,0,0,0,76.6,76.6
-117.1637572,32.76494897,92108,0,0,0,3,3
-117.2392736,32.87391596,92093,1.2,0,0,30,31.2
-122.4510916,37.77658816,94117,2,0,0,1.5,3.5
-117.230271,32.87550733,92161,0,0,0,4.6,4.6
-118.2211187,33.99885444,90058,0,0,0,171.8,171.8
-118.0866541,33.92761738,90650,0,0,0,77,77
-118.1223654,34.14004036,91125,0,0,0,12.5,12.5
-118.234121,34.05741065,90012,2.25,0,0,23,25.25
-118.4467026,34.06731544,90095,0,0,0,43,43
-117.338992,34.58072213,92394,4,3.24,0,854.9,862.14
-116.9251404,32.57148812,92154,0,0,0,1097,1097
-114.7309281,33.59475553,92225,49,0,0,537,586
-117.2313599,34.08206434,92374,28.22,0,0,1054,1082.22
-120.0646633,38.68659344,95647,0,0,0,11.35,11.35
-117.3404978,34.05405315,92324,0,0,0,151.62,151.62
-119.6676528,36.28610059,93230,24,0,0,92,116
-119.783141,36.13624851,93245,273.5,0,0,98,371.5
-117.1697182,33.73889535,92585,0,0,0,810,810
-121.1190452,38.33917928,95638,10.9,0,0,530,540.9
-122.1384591,38.07190219,94510,0,0,0,47.7,47.7
-116.9693944,32.79478704,92020,0,0,0,96.03,96.03
-117.2935176,33.9301881,92507,0,0,0,40,40
-121.7776579,38.01571117,94509,0,0,0,875.3,875.3
-117.4531638,33.96289747,92504,0,0,0,192,192
-117.6083022,33.89120193,92880,0,0,0,32.5,32.5
-117.9451644,34.00853834,91745,0,0,0,500.5,500.5
-116.8853156,34.24672955,92315,0,0,0,8.4,8.4
-121.7582054,38.01689595,95814,0,0,0,613.1,613.1
-117.1289836,32.81626374,92123,0,0,0,9.9,9.9
-117.111412,33.35918431,92059,0,0,0,100,100
-122.7233801,38.46662463,95403,0,0,0,1.4,1.4
-118.3059477,33.86082699,90248,0,0,0,1.38,1.38
-117.377378,34.16278053,92407,11.22,0,276.44,1.4,289.06
-120.5177748,40.40960755,96122,0,0,0,6,6
-117.530177,34.0876922,91739,0,1,0,49,50
-118.290126,33.87459976,90247,0,0,0,1,1
-118.4558297,34.15182563,91403,0,0,0,1.05,1.05
-118.3701501,34.09806859,90036,1.84,0,0,2.95,4.79
-120.7933485,39.23679083,95701,0,0,128,0,128
-120.5394721,38.07219018,95222,1.8,0,1.4,0,3.2
-117.1753234,33.05106773,92067,0,0,1.49,0,1.49
-117.0164411,33.16585413,92027,0,0,1.5,0,1.5
-120.0770571,38.20253939,95634,0,0,9.99,0,9.99
-118.3242373,37.14216675,93513,0,0,3.2,0,3.2
-118.5321951,37.3878904,93514,0,0,144.19,0,144.19
-121.1646822,39.36056309,95935,0,0,315.15,0,315.15
-121.0589162,39.00990614,95722,0,0,1.8,0,1.8
-118.6944312,34.67179205,91310,0,0,102.95,0,102.95
-120.3475609,38.17259135,95251,0,0,603.1,0,603.1
-120.8328039,38.20323244,95252,0,0,42.67,0,42.67
-119.0691256,34.21301948,93010,0,0,1,0,1
-118.6240478,34.2620378,91311,0,0,1.25,0,1.25
-120.5778974,38.81090514,95726,0,0,177.8,0,177.8
-120.8131577,38.77183136,95667,0,0,8.1,0,8.1
-122.1219075,40.40462968,96022,0,0,13,0,13
-118.0435666,36.44347412,93545,0,0,1.5,0,1.5
-122.0209791,40.57081686,96062,0,0,2,0,2
-119.9608675,37.88715154,95321,0,0,283.22,0,283.22
-118.282616,36.93951246,93526,0,0,0.6,0,0.6
-120.4448887,37.67221887,95329,0,0,211.6,0,211.6
-120.0921598,38.21630289,95364,0,0,88.2,0,88.2
-121.9513588,40.91722334,96065,0,0,630.6,0,630.6
-117.5412741,34.10048546,91730,2.75,0,23.9,0,26.65
-120.3042821,37.54321843,95369,0,0,107,0,107
-121.175009,38.65437497,95630,9.55,0,220.5,0,230.05
-117.3973148,34.1552856,92336,0,0,1.9,0,1.9
-118.4138037,34.10400045,90210,0,0,2,0,2
-120.5764186,39.03268284,95631,0,0,216.73,0,216.73
-117.956838,36.10995899,93549,0,0,6.4,0,6.4
-121.0778168,38.8939973,95603,0,0,39.6,0,39.6
-120.5892969,39.5657111,96125,0,0,10,0,10
-121.8832925,40.4330557,96059,0,0,26.1,0,26.1
-121.4145547,40.75760841,96016,0,0,1.1,0,1.1
-123.5800272,40.44810537,95526,0,0,3.5,0,3.5
-120.4340591,38.86129635,95725,0,0,235.7,0,235.7
-122.5484341,40.67992377,96003,1,0,1305.75,0,1306.75
-121.881975,40.67424188,96096,0,0,8,0,8
-117.4536748,33.85521903,92503,0,0,4.9,0,4.9
-120.3244907,38.98271616,95276,0,0,74.1,0,74.1
-119.1941545,37.99323573,93541,0,0,13,0,13
-117.4863389,34.23162839,92358,0,0,0.5,0,0.5
-121.2560346,40.97647958,96056,0,0,29.9,0,29.9
-121.4480484,40.80137784,96040,0,0,2,0,2
-117.061736,34.07974598,96061,0,0,4.05,0,4.05
-120.3056999,37.81287914,95347,0,0,102.9,0,102.9
-117.3500557,34.37113027,92345,1.5,0,32.76,0,34.26
-120.8832783,35.7985837,93426,0,0,4.36,0,4.36
-120.4464048,38.14711324,95247,0,0,3.6,0,3.6
-121.8697531,40.99239566,96011,0,0,1.2,0,1.2
-120.7736447,37.51684695,95376,0,0,325.2,0,325.2
-121.2920421,39.28082573,95918,0,0,48.1,0,48.1
-120.0007829,38.39160454,95379,0,0,6,0,6
-121.0957779,39.530001,95930,0,0,2,0,2
-114.1402794,34.29532651,92267,0,0,120,0,120
-117.1831922,33.83605617,92370,0,0,7.94,0,7.94
-120.3265735,38.03208263,95373,0,0,2,0,2
-123.127969,39.36181239,95469,0,0,9.3,0,9.3
-117.2768719,33.37999302,92028,2,0,5.9,0,7.9
-120.7546616,38.77376399,95709,0,0,270.08,0,270.08
-120.9221624,39.15619707,95713,0,0,57.5,0,57.5
-119.1233117,37.76702065,93529,0,0,8.4,0,8.4
-123.5090596,40.09412496,95495,0,0,4.95,0,4.95
-117.800412,34.12584979,91773,0,0,10.97,0,10.97
-117.8557096,34.20431596,91702,0,0,4.98,0,4.98
-117.124122,34.13184296,92346,1,0,6.3,0,7.3
-118.4253086,34.00888328,92220,0,0,0.94,0,0.94
-118.467299,34.07184457,90077,0,0,0.64,0,0.64
-118.5050105,34.69398204,90049,5.8,0,8.54,0,14.34
-117.5420057,34.12479209,92376,1.22,0,0.48,0,1.7
-122.4562005,40.97685893,96051,0,0,4.2,0,4.2
-122.9445563,38.70352576,95441,1,0,2.79,0,3.79
-120.1117083,38.18650927,95335,0,0,7,0,7
-120.1045384,39.47041393,95734,0,0,3.65,0,3.65
-121.9591716,40.53443287,96088,0,0,3.2,0,3.2
-123.523152,40.19984292,95595,0,0,1.3,0,1.3
-120.6049327,37.8761432,95370,0,0,30.6,0,30.6
-118.4168202,34.01131228,90230,0,0,10.12,0,10.12
-117.0706101,33.6810821,92576,0,0,29.7,0,29.7
-117.1137229,32.93699866,92129,0,0,4.65,0,4.65
-117.2698286,33.05596639,92024,0.1,0,0.74,0,0.84
-118.3908473,34.19449171,91605,0,0,1,0,1
-117.5835492,35.01809496,93516,172.6,0,0,42,214.6
-117.3348901,35.02407211,92347,434,0,0,0,434
-115.4580736,35.56458515,92364,691,0,0,0,691
-121.3540674,38.50518183,95829,0.2,0,0,0,0.2
-121.7295373,38.65994251,95695,1,0,0,0,1
-121.1668678,38.61159334,95670,6,0,0,0,6
-122.4834997,37.75089264,94121,4.5,0,0,0,4.5
-120.1151839,35.98824359,93204,60,0,0,0,60
-117.5115701,33.82780969,92881,1.5,0,0,0,1.5
-118.2766842,33.74740858,90731,1.1,0,0,0,1.1
-121.2949345,38.2917056,95632,36,0,0,0,36
-121.4182586,38.33742546,95757,47,0,0,0,47
-117.9943153,34.63925926,93550,23.5,0,0,0,23.5
-116.1033643,34.17529164,92277,27.5,0,0,0,27.5
-116.2812409,34.13291499,92252,28,0,0,0,28
-118.5790434,34.18420175,91371,6.47,0,0,0,6.47
-118.2240082,34.0272629,90023,2.25,0,0,0,2.25
-117.5167412,34.07854188,92335,17.2,0,0,0,17.2
-117.2639627,34.09386745,92408,8.76,0,0,0,8.76
-117.2229529,33.8389308,92571,10.2,0,0,0,10.2
-121.2123314,38.4462358,95693,15.5,0,0,0,15.5
-118.0489357,33.91229259,90670,9.65,0,0,0,9.65
-117.659064,33.96678487,91708,1.9,0,0,0,1.9
-117.4432061,34.55859437,92301,60.5,0,0,0,60.5
-117.8448271,34.00957979,91789,1.5,0,0,0,1.5
-118.3026267,34.71845566,93536,608.86,0,0,0,608.86
-116.3547416,33.29594908,92004,26,0,0,0,26
-119.5684057,36.12758033,93212,93.8,0,0,0,93.8
-115.4113701,33.81785208,92239,550,0,0,0,550
-114.7916772,33.66391994,92226,735,0,0,0,735
-121.4242272,41.03198615,96028,3,0,0,0,3
-121.3122579,36.80007967,95023,246.17,0,0,0,246.17
-116.866061,33.01586759,92065,12.4,0,0,0,12.4
-122.9958151,38.76933237,95425,2.5,0,0,0,2.5
-121.6934024,38.50157428,95616,5,0,0,0,5
-119.4710601,35.59258527,93280,23,0,0,0,23
-116.8641819,34.40268379,92356,30,0,0,0,30
-117.3427282,34.69075527,92368,20,0,0,0,20
-118.3831262,34.84358656,93560,1009.59,0,0,0,1009.59
-117.4967143,34.45549604,92371,17,0,0,0,17
-117.2573702,34.48012521,92395,1.25,0,0,0,1.25
-122.1030489,38.22765171,94534,6,3.1,0,0,9.1
-116.4548557,33.84397949,92234,1,20,0,0,21
-117.2212381,33.86600716,92551,1,0,0,0,1
-116.5745643,33.89771896,92262,1.02,108.68,0,0,109.7
-118.0179772,33.88169977,90638,1,0,0,0,1
-116.433681,33.82361532,92270,1,0,0,0,1
-118.1481027,34.04026077,91754,1,0,0,0,1
-118.6356933,35.0332057,93311,2.38,0,0,2,4.38
-118.5334708,35.16904956,93561,3.33,332.16,0,0,335.49
-116.9199511,32.59004746,92179,1,0,0,0,1
-117.5881468,33.89210017,92882,1,0,0,0,1
-119.3003394,36.00953401,,257.6,1273.37,0,0,1530.97
-117.0116214,32.78240408,92041,0.06,0,0,0,0.06
-117.2417304,32.89996228,92037,0.22,0,0,0,0.22
-117.2213388,33.14616289,92081,0.38,0,0,0,0.38
-117.1967699,32.74869657,92110,1.53,0,0,0,1.53
-117.5799478,33.39496521,92672,2.8,0,0,0,2.8
-117.2983014,33.21193539,92056,4.3,0,0,0,4.3
-121.506219,38.64273428,95834,1,0,0,0,1
-117.9426358,34.60849376,93591,19.5,0,0,0,19.5
-117.0150622,33.75527751,92545,21,0,0,0,21
