X (longitude),Y (latitude),US postal code,Solar,Wind,Carbon free (includes biomass),Non-renewables,Total generation
-117.3871685,34.51070165,92392,6,0,0,0,6
-119.9478434,36.05438698,93239,20,0,0,0,20
-117.2836679,33.89647101,92505,1.5,0,0,0,1.5
-118.1032855,33.98226258,90660,0.9,0,0,0,0.9
-117.4102218,33.9735089,92522,7.5,0,0,0,7.5
-117.5421987,34.03628511,91752,4,0,0,0,4
-117.5191097,34.03895694,92337,1.19,0,0,0,1.19
-118.3103431,33.85764138,90501,0.98,0,0,0,0.98
-116.1976979,33.65357736,92256,3,0,0,0,3
-117.7822643,34.1074769,91750,2.99,0,0,0,2.99
-122.564745,38.14319791,94945,1,0,4,0,5
-117.9162832,34.51270751,93553,9.5,0,0,0,9.5
-117.1023903,34.90572929,92311,20,0,0,0,20
-118.2596377,34.67811398,93534,202,0,0,0,202
-117.0182827,33.24925524,92082,12.9,0,0,0,12.9
-116.8297306,34.86508187,92327,33.8,0,0,0,33.8
-116.1278843,32.62334135,91934,20,0,0,0,20
-118.2933688,34.71510505,92342,31.4,0,0,0,31.4
-117.088171,33.01090051,92127,1,0,0,0,1
-121.2832051,38.81413395,95765,1,0,0,0,1
-122.0719154,37.96689519,94523,2.2,0,0,0,2.2
-121.5610215,38.59150715,95605,1,0,0,0,1
-122.2789505,38.27261131,94558,1,0,0,0,1
-122.6803161,38.32336134,94928,2,0,0,0,2
-121.9647655,37.76808026,94583,1,0,0,0,1
-121.7890612,36.64775536,93955,1,0,0,0,1
-122.2487247,38.12594343,94589,1,0,0,0,1
-123.2235616,39.18625595,95482,1,0,0,0,1
-121.9132873,36.57972361,93940,1,0,0,0,1
-122.4565847,37.90744577,94105,12.7,0,0,0,12.7
-122.4008003,37.78932157,94015,1,0,0,0,1
-122.2769779,38.19092142,94503,1,0,0,0,1
-121.6471402,36.65942228,93901,1,0,0,0,1
-121.9645855,37.76593637,94582,1,0,0,0,1
-121.5340106,39.12512479,95901,1,0,0,0,1
-121.9408405,38.689363,95653,1,1,0,0,2
-121.3968977,38.50138727,95828,3.5,0,0,0,3.5
-121.2590694,38.56134555,95655,1,0,0,0,1
-121.4058016,38.54288016,95826,1.1,0,0,0,1.1
-121.8194671,38.42001662,95620,1.1,1,0,0,2.1
-123.0351261,38.31897066,94923,1.1,0,0,0,1.1
-122.251316,38.09607046,94590,1.2,0,0,0,1.2
-122.4581386,38.281186,95476,1.3,0,0,0,1.3
-122.4921749,37.95348292,94901,1.5,0,0,0,1.5
-122.3943354,37.79726812,94111,1.5,0,0,0,1.5
-122.0605333,37.9043589,94520,2.1,0,0,0,2.1
-117.2502001,34.05015092,92354,2.83,0,0,0,2.83
-118.4507462,34.05130203,90073,9,0,0,0,9
-118.4773453,34.24683255,91343,7.96,0,0,0,7.96
-118.2068125,34.12820261,90041,1.14,0,0,0,1.14
-121.2332389,35.99821478,93928,2,0,0,0,2
-121.9825784,38.32589077,95696,1,0,0,0,1
-121.35481,36.44660136,93960,2,1,0,0,3
-121.7484562,38.00231943,94561,1.5,0,0,0,1.5
-119.3425057,35.52960556,93305,2.5,0,0,0,2.5
-118.1027786,34.69030257,93535,7.3,0,0,0,7.3
-117.1606547,34.55382557,92307,4.5,3,0,0,7.5
-116.3297039,33.26480934,92114,6.5,0,0,0,6.5
-117.5308224,34.04466061,91762,1.23,0,0,0,1.23
-117.7927306,36.019773,93542,0,0,302.41,0,302.41
-122.7658424,38.79303696,95461,1,0,1439.9,0,1440.9
-118.9109027,37.64563689,93546,0,0,40,0,40
-116.611876,33.91880559,92282,0,86.5,0,0,86.5
-116.5906176,33.93461229,92240,1.5,44.41,0,0,45.91
-121.7890411,38.13343272,92064,0,289.8,0,0,289.8
-118.5012979,35.24467094,93501,155,2217.06,0,0,2372.06
-116.3086596,32.69774633,91905,3.5,50,0,0,53.5
-116.7101225,33.91161329,92230,0,9.41,0,0,9.41
-121.7948299,38.08183353,94512,0,311.23,0,0,311.23
-121.6930737,37.74062285,94550,3.3,79.18,0,13.34,95.82
-121.7501137,37.30722777,95121,0,0,0,0,0
-117.8322908,33.69101038,92606,0,0,0,0,0
-115.57698,32.76002708,92243,220,0,0,0,220
-121.8888892,37.7152214,94568,1,0,0,0,1
-117.8871633,33.78685001,92868,0,0,0,0,0
-120.4905055,37.18700309,95317,0,0,12.5,0,12.5
-120.2413838,37.10538946,93610,23,0,12.5,0,35.5
-117.9677675,33.64159148,92646,0,0,0,446,446
-121.2439679,40.30207759,96020,0,0,12,0,12
-119.4170383,36.61896362,93654,1.25,0,12.5,0,13.75
-122.2935757,37.81327133,94607,1,0,0,234.55,235.55
-119.7446771,36.66424956,93725,4.2,0,27.8,98,130
-122.1105856,39.1057576,95987,0,0,29.07,0,29.07
-117.839799,33.93192032,92621,0,0,0,5.63,5.63
-122.0681893,36.96767316,95060,1.3,0,0,1.6,2.9
-121.1409271,37.38536776,95313,0,0,0,24,24
-122.0265013,37.41627652,94089,4,0,0,2.6,6.6
-117.6146872,33.49499581,92675,0,0,0,6.1,6.1
-121.3305651,37.94336615,95203,0,0,0,50,50
-121.79473,36.90507775,95076,1.2,0,0,3.18,4.38
-122.4060351,37.50401244,94019,0,0,0,11.46,11.46
-117.710621,33.71571556,92602,0,0,0,23.59,23.59
-119.0234769,35.47830339,93308,4.1,0,0,952.49,956.59
-122.3769502,41.43431054,96094,0,0,13.41,0,13.41
-121.7264298,39.6746381,95969,0,0,0,2.16,2.16
-117.8408469,33.93240516,92823,0,0,0,32.81,32.81
-120.459608,37.01666901,95336,6.3,0,0,4.34,10.64
-120.9298427,38.0301426,95236,0,0,0,4.34,4.34
-120.7178045,35.30723453,93401,1.4,0,0,1.5,2.9
-120.9852055,37.57404815,95358,0,0,0,223,223
-117.88639,33.84510234,92805,0,0,0,50.52,50.52
-117.8535844,33.85610292,92806,0,0,0,201.73,201.73
-122.2625743,37.528018,95192,0,0,0,7,7
-120.3127049,36.16762802,93210,3.22,0,0,23.56,26.78
-119.6037817,35.38562149,93251,21,0,0,1354.29,1375.29
-118.903414,35.42993464,93306,0,0,14,95.8,109.8
-119.4172889,35.13165623,93268,31.5,0,0,47.2,78.7
-121.9564662,37.38270395,95054,0,0,0,57.8,57.8
-121.2755189,37.81576008,95330,1,0,0,4,5
-121.9445499,37.36859588,95050,0,0,0,25,25
-121.9510117,37.37696383,95051,0,0,0,147,147
-117.33843,33.137771,92008,0,0,0,858,858
-121.1206372,37.731348,95366,0,0,0,149.5,149.5
-119.3215339,35.39525455,93312,0,0,0,6.05,6.05
-121.5364371,36.99966351,95020,0,0,0,265.3,265.3
-121.6661476,39.09446502,95992,0,0,0,122,122
-119.5933407,36.5061255,93631,5,0,0,34.5,39.5
-119.348586,36.34124423,93291,1,0,0,0,1
-118.9213588,35.41301574,93301,1,0,36.3,0,37.3
-120.9313796,37.6290134,95357,0,0,0,112,112
-119.598972,35.21950649,93224,0,0,0,812,812
-119.4904124,35.03046434,93252,40,0,0,65.4,105.4
-122.2893534,37.78869415,95401,0,0,0,54.8,54.8
-121.1971212,38.13477352,95240,2.5,0,0,27.4,29.9
-121.3870575,38.08814163,95242,0,0,0,319.63,319.63
-122.2633912,37.87021004,94720,0,0,0,26.35,26.35
-117.9383596,33.69399384,92728,0,0,0,7.5,7.5
-122.1729021,37.45518714,94025,0,0,0,6,6
-119.7668518,36.83440828,93729,0,0,0,7,7
-119.5649979,36.69216161,93657,1.07,0,0,73,74.07
-122.0616777,36.99893435,95064,0,0,0,4.4,4.4
-120.9003053,37.48858694,95380,0,0,0,298,298
-121.0196045,37.65261349,95351,0,0,0,185,185
-121.6378076,39.14066875,95993,1,0,0,97.1,98.1
-121.2941866,37.92281636,95206,3,0,0,10,13
-121.7460051,37.22076377,95111,0,0,0,565.8,565.8
-118.8959742,34.96573095,93243,1,0,0,778,779
-119.387379,35.29185551,93276,1,0,0,567,568
-117.8559504,33.93299727,92821,0,0,0,8.33,8.33
-121.5064976,37.71223293,95377,0,2,0,333,335
-120.1020452,36.61669811,93660,3,0,0,21.3,24.3
-120.6257866,36.76471476,93622,30,0,0,449.9,479.9
-121.6093591,39.10898953,95991,0,0,0,48.1,48.1
-122.2698005,39.36596302,94177,0,0,0,692,692
-122.1337338,37.63473943,94545,0,0,0,625,625
-117.665078,33.55195676,92692,0,0,0,1.5,1.5
-121.6018729,37.78882873,94514,0,0,0,200,200
-117.8464039,33.64787114,92697,0,0,0,19,19
-119.3029453,36.00091214,93256,0,0,0,11.97,11.97
-122.0595152,37.65853584,94542,0,0,0,1.4,1.4
-122.1098086,37.43840334,94303,0,0,0,4.52,4.52
-119.1803754,35.79991784,93215,39,0,0,49.9,88.9
-117.8630136,33.6755723,92707,0,0,0,7,7
-117.9398799,34.12667398,91706,0,0,0,14.86,14.86
-117.8346538,33.68882322,92614,0,0,0,6.1,6.1
-117.9828636,33.80732335,90680,0,0,0,49,49
-121.8715508,37.35728189,95116,0,0,0,1,1
-119.1363397,36.89321419,93649,0,0,503,0,503
-121.179833,40.08601005,95956,0,0,353,0,353
-119.2950466,37.20292422,93605,0,0,313,0,313
-119.3864524,37.14857034,93602,0,0,177,0,177
-119.481816,37.20258597,93643,0,0,313.53,0,313.53
-122.2214554,39.75882224,95963,1.5,0,6.69,0,8.19
-118.5032161,35.61603452,93240,0,0,24.9,0,24.9
-121.3881611,39.84112835,95980,0,0,360,0,360
-121.0240146,38.22550287,95227,0,0,18,0,18
-122.3726671,41.96829821,96044,0,0,67.2,0,67.2
-117.955151,33.92500486,90631,0,0,3.13,0,3.13
-121.6320086,39.87000145,95954,0,0,33,0,33
-120.9486916,39.25875808,95959,0,0,6.7,0,6.7
-115.6118681,32.71268514,92231,302.9,0,0.56,0,303.46
-115.2004393,32.77131618,92250,0,0,137.85,0,137.85
-120.8353363,39.2183539,95714,0,0,27.3,0,27.3
-119.1124975,37.08859238,93664,0,0,1411,0,1411
-121.5430005,39.56198396,95965,1.2,0,649.22,0,650.42
-120.6700124,38.33100941,95642,0,0,99,0,99
-121.2874714,39.55494973,95940,0,0,30.1,0,30.1
-119.703454,36.99769149,93270,0,0,30.57,0,30.57
-120.632892,39.75485098,96103,0,0,0.44,0,0.44
-121.2793006,39.8892363,95971,0,0,21,0,21
-121.0894582,40.26871344,91367,0,0,4.9,0,4.9
-120.67051,37.61651236,95323,0,0,4.38,0,4.38
-118.8746702,36.45715072,93271,0.33,0,7.6,0,7.93
-119.0069728,36.41544275,93244,0,0,20,0,20
-121.4912486,39.53167957,95966,0,0,10,0,10
-119.5555213,37.0821636,93603,0,0,180.2,0,180.2
-118.4362156,35.77613967,93238,0,0,36.8,0,36.8
-122.3287745,41.28036972,96067,0,0,10,0,10
-120.4555907,37.433547,95344,0,0,4.5,0,4.5
-120.0342012,36.97964951,93637,2,0,3.71,0,5.71
-121.2717256,39.2363887,95945,0,0,12,0,12
-120.6534349,39.44834631,95604,0,0,3.6,0,3.6
-120.7134215,38.8153424,95666,0,0,121.3,0,121.3
-121.0624752,37.09421792,95322,108,0,424,0,532
-114.4802271,32.90282135,92283,0,0,7.83,0,7.83
-120.8690834,37.85207011,95361,2.68,0,7.89,0,10.57
-120.6418819,39.32897347,95717,0,0,17.2,0,17.2
-119.1591132,37.25694171,93629,0,0,10,0,10
-122.5332476,39.58682112,95939,0,0,5,0,5
-118.7479702,36.1493878,93265,0,0,8.92,0,8.92
-115.5508144,32.96223612,92227,5.72,0,50.32,0,56.04
-117.8293182,33.90001889,92686,0,0,4.1,0,4.1
-121.2040722,39.5539253,95919,0,0,59,0,59
-120.7190879,37.64338709,95386,0,0,0.6,0,0.6
-119.7071025,37.00247359,93626,0,0,7.3,0,7.3
-120.8553663,35.21166964,93424,0,0,2393,0,2393
-118.3379498,34.9343811,91770,110,0,0,0,110
-120.4056932,36.73890907,93640,71.6,0,0,0,71.6
-120.1496628,36.38524612,93624,130,0,0,0,130
-120.1230348,36.52391864,93627,20,0,0,0,20
-115.4973295,33.24995863,92257,43,0,0,0,43
-120.5681255,35.67120953,93446,1.14,0,0,0,1.14
-120.3573213,36.54609444,93608,384.3,0,0,0,384.3
-120.123555,36.15500469,93234,69,0,0,0,69
-119.859834,36.67532339,93706,2.5,0,0,0,2.5
-120.9909888,37.73626025,95356,25.5,0,0,0,25.5
-119.0553438,36.06370809,93257,9.77,0,0,0,9.77
-121.7315116,37.72131003,94551,5.3,46,0,0,51.3
-119.9936136,35.35997865,93453,840,0,0,0,840
-119.4465942,35.87922697,93201,149.8,0,0,0,149.8
-115.5806602,32.72267251,92249,157.2,0,142.5,0,299.7
-117.6543861,35.6352737,93555,11.12,0,0,0,11.12
-118.9869272,35.18296515,93313,32.41,0,0,0,32.41
-118.8878244,35.21497299,93203,23,0,0,0,23
-120.3850587,36.61553555,93668,19,0,0,0,19
-118.7240982,35.22354908,93307,140.32,0,0,0,140.32
-115.572213,33.15934949,92233,220.75,0,403.34,0,624.09
-119.1268787,35.450484,93263,20,0,0,0,20
-120.9540601,37.02748526,93635,22,18.43,0,0,40.43
-117.6299124,33.55637142,92694,0.05,0,0,0,0.05
-120.4604808,37.29941589,95340,4,0,0,0,4
-120.6485505,37.05827946,93620,1.5,0,0,0,1.5
-115.6575798,32.66579823,92273,148.7,0,0,0,148.7
-121.1313854,37.39156725,95360,20,0,0,0,20
-119.2139134,36.31838439,93233,7.5,0,0,0,7.5
-119.238482,35.13024508,93628,20,0,0,0,20
-118.4630164,34.8375109,94560,175,0,0,0,175
-118.0520678,35.25069346,93519,515.5,135,0,0,650.5
-119.6385296,35.41623784,93200,20,0,0,0,20
-119.0550747,35.84944629,93218,75,0,0,0,75
-117.56822,34.03919532,91798,3,0,0,0,3
-119.1283376,36.26630282,93221,3.5,0,0,0,3.5
-119.1340122,36.21178323,93247,4,0,0,0,4
-117.9213122,33.80041493,92802,2.4,0,0,0,2.4
-117.3342191,33.97277865,92508,2.98,0,0,0,2.98
-118.2098001,33.829148,90810,1.02,0,0,0,1.02
-117.1942664,33.55297942,92562,1.09,0,0,0,1.09
-117.1163743,33.50301258,92592,1.11,0,0,0,1.11
-119.3486693,36.30600097,93277,1.04,0,0,0,1.04
-120.54846,35.8228938,93451,131,0,0,0,131
-119.4122051,36.53913123,93618,2,0,0,0,2
-122.0842731,37.42194936,94043,2,0,0,0,2
-121.8518088,39.55097107,95958,1,0,0,0,1
-119.6931183,36.77016101,93727,2,0,0,0,2
-122.9191071,39.10666352,95453,1,0,0,0,1
-121.1701287,37.88391105,95422,2,0,0,0,2
-121.8622878,39.71011825,95928,1,0,0,0,1
-119.7416577,36.81016263,93710,1,0,0,0,1
-121.6394301,39.21994962,95953,1,0,0,0,1
-119.5233663,36.61173994,93648,1,0,0,0,1
-120.8126893,37.37693078,95334,1,0,0,0,1
-119.29687,36.340343,93292,1,0,0,0,1
-121.6353957,37.14907123,95037,1,0,0,0,1
-122.161137,37.79089101,94619,1,0,0,0,1
-121.8995221,37.35067214,95112,4.5,0,0,0,4.5
-122.0128414,37.26429986,95070,1,0,0,0,1
-122.1445746,37.71149331,94578,1,0,0,0,1
-122.0044859,37.38002534,78724,1,0,0,0,1
-120.7229658,35.32130165,93405,1,0,0,0,1
-121.9807002,37.41137555,95110,1,0,0,0,1
-122.1596575,40.1060718,96080,1,1,0,0,2
-122.12515,40.10100189,96055,1,0,0,0,1
-120.6005091,37.36028069,95301,1,0,0,0,1
-121.9220305,37.38085358,95131,3.1,0,0,0,3.1
-122.0094663,37.59217501,94587,1.1,0,0,0,1.1
-119.0393102,35.4029466,93302,1.1,0,0,0,1.1
-121.8591571,37.36623538,95133,1.2,0,0,0,1.2
-121.9626491,37.50467207,94538,1.3,0,0,0,1.3
-121.9270903,37.70629227,94588,1.3,0,0,0,1.3
-119.8462329,36.83864016,93711,1.4,0,0,0,1.4
-121.765938,37.303925,95135,1.4,0,0,0,1.4
-122.1531465,37.66499632,94580,1.5,0,0,0,1.5
-122.1275266,37.36342191,94022,3.3,0,0,0,3.3
-119.7116523,36.83912541,93611,2.2,0,0,0,2.2
-119.7100774,36.76765915,93737,2.3,0,0,0,2.3
-121.9992158,37.38657578,94088,3,0,0,0,3
-122.0055605,37.37748445,94085,3,0,0,0,3
-121.3567347,37.61665369,95304,0,1.5,0,0,1.5
-116.0493859,32.75979594,92259,0,265.44,0,0,265.44
-118.1804757,35.3502891,93283,0,162,0,0,162